epoch	train_loss	s_hit	s_ndcg	t_hit	dev_score	best_dev_score
1	1013.812570	0.0125	0.0043	0.0052	0.0018	0.0018
2	564.839595	0.0187	0.0084	0.0052	0.0019	0.0019
3	539.386601	0.0156	0.0080	0.0137	0.0064	0.0064
4	540.952454	0.0156	0.0105	0.0086	0.0038	0.0064
5	539.948940	0.0187	0.0092	0.0103	0.0048	0.0064
6	539.995457	0.0125	0.0049	0.0069	0.0043	0.0064
7	536.245156	0.0125	0.0043	0.0103	0.0046	0.0064
8	535.890002	0.0187	0.0073	0.0103	0.0035	0.0064
9	535.940037	0.0218	0.0093	0.0120	0.0044	0.0064
10	753.638336	0.0093	0.0036	0.0052	0.0023	0.0064
11	622.105822	0.0031	0.0020	0.0086	0.0040	0.0064
12	606.292358	0.0062	0.0022	0.0137	0.0069	0.0069
13	603.939981	0.0125	0.0046	0.0189	0.0070	0.0070
14	602.615513	0.0125	0.0036	0.0155	0.0055	0.0070
15	604.744446	0.0125	0.0049	0.0069	0.0046	0.0070
16	604.097412	0.0156	0.0068	0.0137	0.0048	0.0070
17	604.514378	0.0156	0.0064	0.0103	0.0045	0.0070
18	604.790218	0.0156	0.0062	0.0069	0.0023	0.0070
19	603.241150	0.0125	0.0058	0.0069	0.0026	0.0070
20	601.964534	0.0187	0.0070	0.0086	0.0033	0.0070
