epoch	train_loss	s_hit	s_ndcg	t_hit	dev_score	best_dev_score
1	1006.966422	0.0164	0.0071	0.0166	0.0083	0.0083
2	564.794272	0.0164	0.0091	0.0150	0.0073	0.0083
3	541.360478	0.0033	0.0033	0.0033	0.0011	0.0083
4	542.588719	0.0099	0.0034	0.0166	0.0075	0.0083
5	539.534167	0.0066	0.0023	0.0166	0.0055	0.0083
6	538.260607	0.0033	0.0012	0.0083	0.0030	0.0083
7	536.336770	0.0066	0.0025	0.0150	0.0065	0.0083
8	538.588610	0.0033	0.0013	0.0150	0.0082	0.0083
9	535.539084	0.0033	0.0010	0.0183	0.0078	0.0083
10	752.865644	0.0099	0.0041	0.0033	0.0011	0.0083
11	619.004451	0.0033	0.0011	0.0067	0.0038	0.0083
12	611.431349	0.0066	0.0026	0.0100	0.0060	0.0083
13	607.081151	0.0066	0.0027	0.0166	0.0075	0.0083
14	606.318992	0.0099	0.0038	0.0083	0.0039	0.0083
15	605.871307	0.0066	0.0033	0.0116	0.0045	0.0083
16	603.416534	0.0066	0.0037	0.0166	0.0060	0.0083
17	602.333374	0.0164	0.0090	0.0100	0.0056	0.0083
18	607.288077	0.0066	0.0023	0.0116	0.0050	0.0083
19	602.721061	0.0066	0.0026	0.0133	0.0063	0.0083
20	605.664730	0.0132	0.0052	0.0133	0.0065	0.0083
